Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length, Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk, Bwd Avg Bulk Rate, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.47-192.168.10.14-123-3394-17,192.168.10.14,3394,192.168.10.47,123,17,3/7/2017 9:00:11,18216,2,1,121,112,69,54,60.7302,4.8371,112,112,112.439,0,12790.953008344311,164.69038208168644,9108,2732.4,15464,2644,15396,15396.4,0,15396,2249,0,0,0,0,0,0,0,0,0,16,8,109.794,54.8968,54,112,58.25,31.5995,998.526,0,0,0,0,0,0,0,0,0,77.6667,60.7302,112.439,16,0,0,0,0,0,0,2,121,1,112,-1,-1,2,8,0,0,0,0,0,0,0,0,BENIGN
172.21.74.34-192.168.10.8-443-9265-6,192.168.10.8,9265,172.21.74.34,443,6,3/7/2017 9:00:51,661198,20,15,2164,14880,177,59,108.194,48.7931,2325,556,991.992,672.698,25777.45244238488,52.93421940175258,19447,41540,95110,5051,610607,32137.2,56061.9,195370,1352,633088,45220.6,110179,210297,11103,1,0,0,0,400,300,30.2481,22.6861,59,2325,473.444,621.909,386771,0,0,0,1,0,0,0,0,0,486.971,108.194,991.992,400,0,0,0,0,0,0,20,2164,15,14880,64240,5840,12,20,0,0,0,0,0,0,0,0,BENIGN
91.141.42.58-192.168.10.25-31724-28133-6,192.168.10.25,28133,91.141.42.58,31724,6,3/7/2017 9:01:49,4976958,1,8,38,2074,38,38,37.957,0,503,76,259.203,156.902,424.3556003486467,1.808333524212983,622120,2.273e+06,4976958,104841,0,0,0,0,0,2606782,372397,1.18176e+06,2606782,23081,0,0,0,0,20,160,0.200926,1.60741,38,503,211.2,165.124,27265.9,1,0,0,1,1,0,0,0,8,234.667,37.957,259.203,20,0,0,0,0,0,0,1,38,8,2074,8192,65535,1,20,0,0,0,0,0,0,0,0,BENIGN
23.251.163.41-192.168.10.5-443-46737-6,192.168.10.5,46737,23.251.163.41,443,6,3/7/2017 9:01:59,3636026,17,36,1797,17274,201,51,105.692,40.312,948,280,479.822,267.76,5245.011999364141,14.576353414414529,69923.6,123214,412987,9433,2889103,180569,317311,781371,52332,2382273,68064.9,100248,362404,14613,0,0,0,0,340,720,4.67543,9.90092,51,948,353.167,282.418,79760.2,1,0,0,0,0,0,0,0,2,359.83,105.692,479.822,340,0,0,0,0,0,0,17,1797,36,17274,64240,4380,8,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.23-192.168.10.8-443-62719-6,192.168.10.8,62719,192.168.10.23,443,6,3/7/2017 9:02:02,6964444,15,4,1429,1601,183,44,95.2701,47.6613,879,162,400.239,227.108,435.06703478411197,2.728143122408623,386914,918446,2793133,7723,4303435,307388,700086,1583491,65818,5397543,1.79918e+06,4.96837e+06,5397543,348657,0,0,0,0,300,80,2.1538,0.574346,44,879,151.5,167.85,28173.6,0,0,0,0,0,0,0,0,0,159.474,95.2701,400.239,300,0,0,0,0,0,0,15,1429,4,1601,29200,-1,5,20,3070.17,939.863,4040,2222,2.13881e+06,664549,3153131,1530571,BENIGN
13.247.59.77-192.168.10.9-80-3977-6,192.168.10.9,3977,13.247.59.77,80,6,3/7/2017 9:02:37,3300888,7,9,1177,7848,327,32,168.098,122.056,1939,256,871.977,539.461,2734.11275996035,4.847180516273197,220059,343061,571658,5212,2632342,438724,781325,1759354,118270,2550030,318754,551803,1086294,53346,0,0,0,0,140,180,2.12064,2.72654,32,1939,530.882,541.517,293241,1,0,0,0,0,0,0,0,1,564.062,168.098,871.977,140,0,0,0,0,0,0,7,1177,9,7848,29200,5840,3,20,0,0,0,0,0,0,0,0,BENIGN
31.29.98.154-192.168.10.15-123-13097-17,192.168.10.15,13097,31.29.98.154,123,17,3/7/2017 9:03:27,1128,1,1,37,277,37,37,36.7726,0,277,277,276.907,0,278368.7943262411,1773.049645390071,1128,0,1128,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,886.525,886.525,37,277,104.667,130.913,17138.2,0,0,0,0,0,0,0,0,1,157,36.7726,276.907,8,0,0,0,0,0,0,1,37,1,277,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
31.117.118.192-192.168.10.9-443-19589-6,192.168.10.9,19589,31.117.118.192,443,6,3/7/2017 9:03:45,31965,16,39,1113,44061,146,18,69.5843,55.2268,1972,310,1129.78,663.818,1413233.2238385733,1720.6319411856718,591.944,958.617,2628,47,22536,1502.38,2310.35,3977,33,22268,586.004,1138.11,1863,25,1,0,0,0,320,780,500.547,1220.08,18,1972,806.679,738.531,545428,1,0,0,1,0,0,0,0,2,821.345,69.5843,1129.78,320,0,0,0,0,0,0,16,1113,39,44061,65535,-1,8,20,0,0,0,0,0,0,0,0,BENIGN
91.106.34.68-192.168.10.8-443-7099-6,192.168.10.8,7099,91.106.34.68,443,6,3/7/2017 9:04:10,5469563,3,12,458,21989,324,102,152.541,72.9326,4366,1095,1832.39,1024.19,4103.984175701057,2.742449442487453,390683,433776,941783,14084,3675200,1.8376e+06,1.80362e+06,3675200,269636,2968081,269826,340861,902941,45641,0,0,0,0,60,240,0.54849,2.19396,102,4366,1402.94,1140.38,1.30047e+06,1,0,0,0,0,0,0,0,4,1496.47,152.541,1832.39,60,0,0,0,0,0,0,3,458,12,21989,65535,4380,2,20,205998,0,205998,205998,2.7357e+06,0,2735704,2735704,BENIGN
172.6.151.168-192.168.10.8-443-19471-6,192.168.10.8,19471,172.6.151.168,443,6,3/7/2017 9:04:13,61364,28,26,3361,10942,231,46,120.04,92.4374,689,162,420.843,193.429,233084.54468417965,879.9947852160876,1157.81,1301.26,4464,109,38007,1407.67,1822.65,5384,372,50557,2022.27,2118.02,4519,484,0,0,0,0,896,832,456.294,423.701,46,689,260.055,212.268,45057.8,0,0,0,0,0,0,0,0,0,264.87,120.04,420.843,896,0,0,0,0,0,0,28,3361,26,10942,64240,65535,8,32,0,0,0,0,0,0,0,0,BENIGN
52.119.244.195-192.168.10.16-443-18527-6,192.168.10.16,18527,52.119.244.195,443,6,3/7/2017 9:04:22,57590,2,3,95,1585,90,35,47.3204,19.8752,1070,237,528.337,314.78,29171.73120333391,86.82062858135092,14397.5,13133.4,40789,471,54847,54847.1,0,54847,12132,36598,18299,17616,36598,4161,0,0,0,0,64,96,34.7283,52.0924,35,1070,280,343.902,118269,1,0,0,1,0,0,0,0,1,336,47.3204,528.337,64,0,0,0,0,0,0,2,95,3,1585,65535,65535,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.48-192.168.10.19-443-15851-6,192.168.10.19,15851,192.168.10.48,443,6,3/7/2017 9:04:35,9248702,12,4,752,1616,153,30,62.6323,36.0597,780,157,404.109,167.679,256.035928068609,1.7299724869500606,616580,769402,2872064,146798,7516616,683329,985893,3444801,11441,6858103,2.28603e+06,2.98242e+06,5720113,360666,0,0,0,0,384,128,1.29748,0.432493,30,780,139.294,173.042,29943.7,1,0,0,0,1,0,0,0,0,148,62.6323,404.109,384,0,0,0,0,0,0,12,752,4,1616,8192,5840,4,32,647345,169702,839156,551459,7.93423e+06,3.8385e+06,9248702,4991726,BENIGN
31.179.211.253-192.168.10.25-137-58773-17,192.168.10.25,58773,31.179.211.253,137,17,3/7/2017 9:05:26,551841,1,1,34,82,34,34,34.1247,0,82,82,81.8783,0,210.20547585264595,3.6242323422869993,551841,0,551841,44968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.81212,1.81212,34,82,38.6667,30.7236,943.937,0,0,0,0,0,0,0,0,1,58,34.1247,81.8783,8,0,0,0,0,0,0,1,34,1,82,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
91.66.34.140-192.168.10.3-53-49201-17,192.168.10.3,49201,91.66.34.140,53,17,3/7/2017 9:05:54,44087,1,1,37,286,37,37,36.6958,0,286,286,285.523,0,7326.4227550071455,45.36484678023,44087,0,44087,8595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,22.6824,22.6824,37,286,107.667,135.407,18334.9,0,0,0,0,0,0,0,0,1,161.5,36.6958,285.523,8,0,0,0,0,0,0,1,37,1,286,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
151.235.209.29-192.168.10.3-443-58345-6,192.168.10.3,58345,151.235.209.29,443,6,3/7/2017 9:06:02,6103776,5,4,531,1848,245,5,106.211,76.0656,916,289,462.111,239.465,389.7587329548135,1.4744970981897108,762972,2.42016e+06,6103776,148283,5205801,1.30145e+06,4.0543e+06,5205801,297798,3455609,1.15187e+06,3.89995e+06,3455609,304992,0,0,0,0,160,128,0.819165,0.655332,5,916,237.9,246.328,60677.3,0,0,0,0,0,0,0,0,0,264.333,106.211,462.111,160,0,0,0,0,0,0,5,531,4,1848,8192,28960,3,32,714119,0,714119,714119,2.11717e+06,0,2117171,2117171,BENIGN
185.144.245.125-192.168.10.25-53-23065-17,192.168.10.25,23065,185.144.245.125,53,17,3/7/2017 9:06:30,17409,1,1,42,48,42,42,41.9109,0,48,48,47.8396,0,5169.739789763916,114.88310643919812,17409,0,17409,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,57.4416,57.4416,42,48,30,15.1677,230.06,0,0,0,0,0,0,0,0,1,45,41.9109,47.8396,8,0,0,0,0,0,0,1,42,1,48,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
23.37.122.71-192.168.10.12-443-45907-6,192.168.10.12,45907,23.37.122.71,443,6,3/7/2017 9:06:48,1148914,15,3,1089,3547,176,38,72.6008,60.1569,2538,135,1182.47,743.534,4035.114899809733,15.666968981142194,67583.2,138514,284469,1228,769775,54983.9,129304,392855,1275,648145,324073,567923,648145,15408,0,0,0,0,300,60,13.0558,2.61116,38,2538,244,516.163,266424,0,0,0,1,0,0,0,0,0,257.556,72.6008,1182.47,300,0,0,0,0,0,0,15,1089,3,3547,65535,5840,6,20,0,0,0,0,0,0,0,0,BENIGN
172.101.39.7-192.168.10.16-53-25757-17,192.168.10.16,25757,172.101.39.7,53,17,3/7/2017 9:07:40,1148,1,1,44,245,44,44,44.24,0,245,245,244.878,0,251742.16027874564,1742.1602787456445,1148,0,1148,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,871.08,871.08,44,245,96.3333,111.309,12389.6,0,0,0,0,0,0,0,0,1,144.5,44.24,244.878,8,0,0,0,0,0,0,1,44,1,245,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
104.101.8.23-192.168.10.25-137-9926-17,192.168.10.25,9926,104.101.8.23,137,17,3/7/2017 9:08:08,8292,2,1,71,69,44,33,35.6488,3.836,69,69,69.2487,0,16883.743367100822,361.79450072358895,4146,1243.8,6627,624,6584,6584.34,0,6584,1462,0,0,0,0,0,0,0,0,0,16,8,241.196,120.598,33,69,35,20.027,401.082,0,0,0,0,0,0,0,0,0,46.6667,35.6488,69.2487,16,0,0,0,0,0,0,2,71,1,69,-1,-1,2,0,0,0,0,0,0,0,0,0,BENIGN
185.87.143.177-192.168.10.19-443-58681-6,192.168.10.19,58681,185.87.143.177,443,6,3/7/2017 9:09:24,1472602,6,13,763,23447,205,58,127.216,54.073,4011,1292,1803.65,942.715,16440.28732814433,12.902332062566803,81811.2,174226,394718,1398,1120296,224059,556166,1120296,61079,789134,65761.2,140932,303656,501,0,0,0,0,192,416,4.07442,8.82791,58,4011,1210.5,1104.67,1.22029e+06,0,1,0,0,0,0,0,0,2,1274.21,127.216,1803.65,192,0,0,0,0,0,0,6,763,13,23447,8192,-1,3,32,0,0,0,0,0,0,0,0,BENIGN
199.42.115.127-192.168.10.25-137-9105-17,192.168.10.25,9105,199.42.115.127,137,17,3/7/2017 9:09:34,162212,2,2,82,320,44,39,40.915,2.4845,222,100,160.14,43.0208,2478.2383547456416,24.659088106921807,54070.7,16221.2,96157,3154,120185,120185,0,120185,15848,142137,142137,0,142137,532,0,0,0,0,16,16,12.3295,12.3295,39,222,80.4,69.9089,4887.25,0,0,0,0,0,0,0,0,1,100.5,40.915,160.14,16,0,0,0,0,0,0,2,82,2,320,-1,-1,2,8,0,0,0,0,0,0,0,0,BENIGN
31.14.137.195-192.168.10.19-53-41889-17,192.168.10.19,41889,31.14.137.195,53,17,3/7/2017 9:09:47,1783156,1,1,45,18,45,45,44.5379,0,18,18,18.2181,0,35.330616053783295,1.1216068588502632,1.78316e+06,0,1783156,29633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.560803,0.560803,18,45,21,16.7596,280.886,0,0,0,0,0,0,0,0,1,31.5,44.5379,18.2181,8,0,0,0,0,0,0,1,45,1,18,-1,-1,1,8,0,0,0,0,0,0,0,0,BENIGN
199.139.194.76-192.168.10.16-443-13532-6,192.168.10.16,13532,199.139.194.76,443,6,3/7/2017 9:10:38,11329282,8,6,678,5211,212,34,84.7575,60.1319,1747,337,868.572,427.181,519.8034615079755,1.2357358568707177,871483,1.5305e+06,5111160,205178,10658663,1.52267e+06,2.22596e+06,7917239,31484,8856070,1.77121e+06,2.61237e+06,8076436,396834,1,0,0,0,160,120,0.706135,0.529601,34,1747,392.6,481.164,231519,0,0,0,1,0,0,0,0,0,420.643,84.7575,868.572,160,0,0,0,0,0,0,8,678,6,5211,8192,65535,4,20,1.43466e+06,0,1434664,1434664,8.65272e+06,2.11797e+06,11203617,6145194,BENIGN
185.79.205.243-192.168.10.9-137-22346-17,192.168.10.9,22346,185.79.205.243,137,17,3/7/2017 9:11:06,51165,2,2,68,192,40,31,33.7944,4.5802,139,75,96.1999,21.2309,5081.598749144924,78.17844229453728,17055,5116.5,32372,4197,31494,31493.8,0,31494,1106,34284,34284.1,0,34284,2692,0,0,0,0,16,16,39.0892,39.0892,31,139,52,37.1268,1378.4,0,0,0,0,0,0,0,0,1,65,33.7944,96.1999,16,0,0,0,0,0,0,2,68,2,192,-1,-1,2,8,0,0,0,0,0,0,0,0,BENIGN
91.163.177.189-192.168.10.15-80-33665-6,192.168.10.15,33665,91.163.177.189,80,6,3/7/2017 9:13:16,2102586,10,3,867,3318,178,64,86.654,45.2153,1919,293,1105.97,755.589,1990.4060999169594,6.182862437018034,175216,151863,355417,22224,1763022,195891,180369,386994,51137,2012298,1.00615e+06,1.01225e+06,2012298,299292,0,0,0,0,320,96,4.75605,1.42681,64,1919,298.929,564.17,318287,0,0,0,0,1,0,0,0,0,321.923,86.654,1105.97,320,0,0,0,0,0,0,10,867,3,3318,8192,5840,6,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.1-192.168.10.12-443-13773-6,192.168.10.12,13773,192.168.10.1,443,6,3/7/2017 9:13:26,3560335,2,2,159,2320,164,35,79.5051,53.6671,2256,53,1159.98,775.149,696.2827936135224,1.1234897839669582,1.18678e+06,1.40493e+06,3560335,106600,2969669,2.96967e+06,0,2969669,559065,2844400,2.8444e+06,0,2844400,848204,0,0,0,0,40,40,0.561745,0.561745,35,2256,495.8,780.44,609086,0,0,0,0,0,0,0,0,1,619.75,79.5051,1159.98,40,0,0,0,0,0,0,2,159,2,2320,65535,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
91.229.67.213-192.168.10.25-80-56643-6,192.168.10.25,56643,91.229.67.213,80,6,3/7/2017 9:14:14,767973,16,8,3530,3941,382,140,220.62,118.23,1142,353,492.674,269.596,9728.206590596283,31.251098671437667,33390.1,73577,195038,3450,765574,51038.3,117742,306612,8381,661864,94552,176041,576248,25361,0,0,0,0,512,256,20.8341,10.417,140,1142,298.84,223.94,50148.9,0,0,0,0,0,0,0,0,0,311.292,220.62,492.674,512,0,0,0,0,0,0,16,3530,8,3941,65535,-1,10,32,0,0,0,0,0,0,0,0,BENIGN
199.158.108.130-192.168.10.8-443-37636-6,192.168.10.8,37636,199.158.108.130,443,6,3/7/2017 9:14:49,337736,112,10,8074,5537,154,23,72.0892,47.287,1155,271,553.747,388.021,40300.70824549352,361.2288888362508,2791.21,3816.32,11385,279,203973,1837.6,2519.18,7488,497,301225,33469.4,52431.1,104197,7744,0,0,0,0,2240,200,331.62,29.6089,23,1155,110.659,178.471,31851.8,0,0,0,1,1,0,0,0,0,111.566,72.0892,553.747,2240,0,0,0,0,0,0,112,8074,10,5537,64240,28960,65,20,0,0,0,0,0,0,0,0,BENIGN
8.127.206.73-192.168.10.16-443-36551-6,192.168.10.16,36551,8.127.206.73,443,6,3/7/2017 9:14:49,7311933,7,39,2147,11571,610,209,306.697,129.591,585,142,296.68,186.105,1876.1112827483512,6.29108609173525,162487,173137,502306,8332,4994020,832337,803067,2735052,180496,4847557,127567,151675,521885,36905,0,0,0,0,140,780,0.957339,5.33375,142,610,291.872,178.811,31973.3,0,0,0,0,1,0,0,0,5,298.217,306.697,296.68,140,0,0,0,0,0,0,7,2147,39,11571,8192,-1,4,20,164833,38812.2,216872,119445,4.77422e+06,0,4774222,4774222,BENIGN
216.237.59.67-192.168.10.14-443-44754-6,192.168.10.14,44754,216.237.59.67,443,6,3/7/2017 9:15:36,624432,9,83,4174,33514,907,138,463.756,290.09,663,257,403.786,230.353,60355.651215824946,147.33389704563507,6861.89,7558.16,14755,61,446484,55810.4,60976.6,221847,10464,340213,4148.93,5345.02,13714,546,0,0,0,0,288,2656,14.4131,132.921,138,907,405.247,237.573,56440.8,1,0,0,0,1,0,0,0,9,409.652,463.756,403.786,288,0,0,0,0,0,0,9,4174,83,33514,8192,65535,5,32,0,0,0,0,0,0,0,0,BENIGN
172.46.203.44-192.168.10.5-443-18103-6,192.168.10.5,18103,172.46.203.44,443,6,3/7/2017 9:16:25,5078829,42,5,2681,3085,111,31,63.8317,42.1831,1023,316,617.069,230.125,1135.3010703845316,9.25410168367551,110409,132160,360636,24050,3427431,83595.9,106513,211463,4128,4712550,1.17814e+06,1.38777e+06,4712550,157013,0,0,0,0,1344,160,8.26962,0.984479,31,1023,120.125,190.597,36327.3,1,0,0,0,0,0,0,0,0,122.681,63.8317,617.069,1344,0,0,0,0,0,0,42,2681,5,3085,29200,4380,29,32,15639.6,0,15640,15640,2.19099e+06,351430,2570824,1910216,BENIGN
91.168.125.101-192.168.10.8-51330-2994-6,192.168.10.8,2994,91.168.125.101,51330,6,3/7/2017 9:16:39,5499475,7,6,919,206,296,77,131.335,101.567,65,7,34.3688,24.5761,204.56498120275117,2.363862005009569,458290,518186,1844317,25391,4874295,812383,898500,2159886,66714,5297337,1.05947e+06,1.19619e+06,3857258,41351,0,0,0,0,224,192,1.27285,1.09101,7,296,80.3571,90.6029,8208.89,0,0,0,1,0,0,0,0,0,86.5385,131.335,34.3688,224,0,0,0,0,0,0,7,919,6,206,65535,-1,4,32,1.06236e+06,0,1062364,1062364,3.0649e+06,0,3064903,3064903,BENIGN
